Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
1,428.3078441,282993.3099909352,396035.1445,5794.77185,59.29697722,1,365916608.6,3,19421628.21,19724.61057,46.54758645,3138
4,85.55977403,64946.50352668308,226112.8894,9468.398056,96.19759692,2,158417772.9,1,4381662.644,6082.210105,18.1391158,1796
1,144.7758249,96349.61143944276,354534.0543,7737.143154,85.3144955,3,135895987.6,3,1955354.3,23491.18496,99.50078352,2187
6,73.83403642,52094.84276921637,407109.7044,1172.371437,92.54326319,4,180622890.6,1,7190675.33,42756.50741,18.80348198,1563
2,939.9070569,438472.5269927274,347602.354,6982.779112,51.20522306,3,322039780.1,2,4687554.483,33370.34361,49.39201431,4332
2,990.670393,558076.9931945731,370915.0906,6131.404154,83.54632506,2,331791886.5,1,11605160.38,10300.25635,70.33064997,2457
5,503.5704645,257387.94287090466,108883.4131,7682.066568,55.30200789,3,76758465.45,1,11601321.66,5682.709465,31.05783039,1288
3,712.8290292,334769.73434023745,330705.8868,7084.909181,63.61010438,4,388173548.5,1,14804424.62,11773.99882,53.54771561,3247
3,558.1752324,309343.5243259809,82284.6709,9892.688288,64.85380389,3,482266749.6,2,13543026.62,17652.53227,73.63097676,1923
3,638.0892481,404838.1378519477,431518.0505,8452.654726,70.65168855,2,280666871.4,1,1519316.186,42001.90649,82.31020514,1547
3,946.0592093,623496.4449913717,298843.3825,8304.205241,87.492939,2,459886597.6,1,15931479.35,32640.45224,46.22364224,842
1,415.9381385,256422.29819599746,29298.58602,4033.016967,68.41018914,2,105632885.4,2,14185205.53,2616.22468,26.79640652,1732
1,660.8313951,445296.68939204514,111374.1698,7269.591371,95.95140132,1,297081315.1,1,13579593.0,24917.13258,7.114394558,2037
7,123.384948,74204.24643239775,218344.6824,9543.537846,86.23219658,1,170755174.2,3,14725883.25,48234.0972,3.916887022,2455
2,615.1875562,385035.2593350968,103829.2938,5886.678101,87.73552293,1,59871936.35,3,11408008.71,32440.76258,94.83405904,1820
6,576.6706948,254966.3308334059,279707.9245,8470.257046,72.40555123,4,439100461.4,3,8511841.313,38413.0452,26.52607169,2132
3,279.2415013,206893.48174886507,75407.46997,3422.557662,69.45519766,3,494825115.6,3,9262802.476,5994.13175,7.290880137,2860
6,211.8489337,114109.88394667004,323390.4829,9446.398151,51.84989002,2,11175638.86,1,16152338.51,47666.02103,46.90380251,2734
7,644.6402778,255102.00161434122,255645.9004,4822.01227,50.53804822,2,372638450.2,2,705813.6006,40668.87521,79.32549136,4144
4,262.2904607,154507.89567785716,332919.0417,5565.112389,50.0099213,1,62387052.06,2,8805961.202,20631.97661,78.50324915,4343
2,314.5989955,213619.15197100976,140333.814,2013.006074,69.34687346,3,285874143.4,1,4704240.173,37285.19828,12.42772402,188
7,544.7918285,222167.0390737747,281312.1465,1400.306196,54.14431925,2,198153904.9,1,9077854.359,35560.69757,45.80661378,915
1,932.8559812,615247.5579494776,180492.1628,8939.126509,81.42481194,2,353509680.2,3,9171681.053,26775.64716,52.1742368,1217
4,176.5324232,99553.88574230511,348761.7989,4814.898096,54.81783411,4,457758484.0,1,17527379.74,27227.45438,88.29675523,1802
4,745.7026603,406881.6709889497,39542.89054,1036.290655,80.74546751,2,429298118.0,2,6319811.192,41728.63537,37.56708816,2458
3,511.7414872,352150.8465694481,234020.6359,6931.065535,67.91906561,2,375119632.4,1,18284570.25,45683.06137,97.51380214,266
6,394.982679,139096.91381575871,16353.73106,4103.832492,54.30174023,4,102006434.9,1,17694117.98,12581.12348,89.55254077,344
2,851.6451112,508443.8240978891,183754.4268,8645.350434,76.50406354,2,133052095.0,1,14521816.32,24278.91029,64.00568545,2687
4,538.2403206,224536.60104524263,374480.0773,4145.747617,53.44225328,3,409032277.5,2,18937354.88,39767.0401,7.599554182,3391
1,944.2112913,519744.24267319555,168826.7403,1436.869383,56.89524056,1,19139175.35,2,17230446.53,5113.407829,41.00327597,2949
4,59.44015889,58373.4072530299,30240.21976,6241.702336,52.08008508,3,110290470.0,3,9214787.09,3489.454976,28.22690769,4896
6,454.1408035,156411.44403535424,224597.9178,3800.740239,63.26699333,4,170850039.7,2,10639377.42,22574.89562,5.48207715,349
3,461.7232374,269661.58918150445,145397.0407,9018.573994,96.71778074,3,401053828.2,1,4125248.399,3658.192762,67.78411809,1531
4,996.4973631,521142.9821086532,21837.01535,5918.553269,99.86280752,2,482576076.2,1,3968701.433,28898.93493,11.06105075,2062
3,462.2065103,321203.2308821198,250112.4854,7881.299537,56.87449821,3,448960433.8,3,11567038.53,235.1996293,25.98040739,940
2,243.4112329,145132.52033957947,195461.7826,3200.533736,91.71020488,3,292883106.8,2,10352510.01,15296.41054,80.59237912,4421
7,111.6208286,82608.41178700354,233009.658,2169.241718,71.79905139,2,109851851.4,3,8628434.061,15748.10468,42.11193433,4939
5,134.3328326,90227.31652960918,370919.0073,8916.205228,58.63897039,1,354502023.2,3,19381442.54,4519.277281,48.75634183,330
7,593.8275729,211858.73812695325,22992.4945,4754.325208,73.22446799,3,120554643.6,3,14150219.34,35457.35972,87.59556499,353
6,426.3584424,173203.81836392186,406153.5891,7397.90048,58.20471598,4,90872196.75,3,17734481.35,9265.542691,82.54639362,2324
1,264.8957035,193848.90970662716,85794.10973,6548.303588,79.74155177,1,211150848.4,1,17982007.28,23689.44795,52.50751714,1642
7,858.3552681,270478.1950354921,108141.6343,2703.406805,66.38371581,2,67584626.98,3,8491202.772,20133.06082,35.96477385,449
6,964.8222997,381241.13572201977,41509.51431,9979.360111,80.24230006,3,371316763.7,1,9230512.95,46790.42091,72.63839806,3910
4,229.8889854,111612.65588254639,256170.6834,2867.837748,81.43498306,3,488217545.4,2,15171552.43,8679.46393,56.61874959,4456
3,103.0649676,72964.62769636969,332903.2264,5138.525528,74.7394028,4,282585235.0,2,8250108.824,16704.03364,43.08971668,2566
1,651.6021536,439530.6017323264,395635.0052,2426.675137,63.89935224,2,457116603.2,1,7924235.858,1879.919823,62.83133747,1036
6,120.8868153,70314.55646647923,393745.9776,9815.979696,53.45079764,4,137277809.6,3,7209473.464,31933.76859,81.6263963,4743
2,73.34164636,78254.89181626803,184944.6431,6371.855672,60.66757223,2,49542946.4,3,17326602.49,11374.36937,75.95908039,2532
3,949.0541962,625367.6016844877,29739.03737,5630.869862,88.84215076,1,23764290.48,2,5796586.947,28608.66224,61.96198312,1845
1,131.2224737,107945.14806256435,218825.6553,886.5226953,90.22789688,2,89598417.71,2,4739631.064,10198.87627,25.93428087,2037
7,751.4736981,231266.84601182965,160064.3638,6520.140304,52.12321537,3,402713847.1,1,11883008.86,49633.99342,31.12165105,2264
2,547.2859161,199538.06871811507,105647.7853,9900.639705,53.39264713,4,77681527.84,1,4386609.086,34101.30431,51.85142659,73
4,311.5242728,182098.20722359663,162181.1613,2337.442194,88.55895041,3,156975552.9,2,7899845.224,45746.46232,97.68451896,3900
1,48.56342183,62774.376468157076,144663.3988,123.5219004,52.7119375,1,320185956.4,1,9467121.793,31779.61259,96.30888747,1034
6,332.3134324,187292.35108206526,6125.368074,6909.53168,84.10796804,1,326330237.5,3,9224553.063,6041.368234,66.3202282,1117
5,472.3704343,219630.9515724394,295250.3661,6358.018157,97.25699182,3,241965243.6,1,3261241.782,42934.53756,21.12892918,3202
5,987.1877168,433686.2602411405,47247.92521,7425.229238,63.37239889,2,222963692.3,2,268705.1401,33706.27075,20.65732958,3503
3,617.9928658,418532.76570912614,419036.7214,2414.723962,92.06638003,2,115178480.7,1,6640300.189,45908.67764,18.95849177,2864
2,207.1950621,115067.02319295934,371867.3287,8754.646584,76.75804563,4,129781400.5,3,5236971.551,27135.59759,46.05376189,4067
4,357.2486892,197838.49905443366,249939.5652,8939.118727,64.46909536,2,445232295.9,3,9366047.436,5621.473235,11.62652628,2301
6,362.1090725,141929.0585458215,146925.6419,1075.464373,75.64588726,4,134169249.0,3,2944526.403,26749.13197,6.267302077,2005
2,672.9268982,381241.18894063565,175038.3724,1888.040991,93.18542548,2,362858895.3,1,9314756.104,5690.101596,88.18097417,2284
6,494.70861,180751.0054356785,378627.2055,6241.998682,57.59007082,4,309490168.2,2,4653940.51,48419.27808,18.49278744,3261
4,317.1369998,229227.2550153083,405494.4408,2575.397113,70.84426209,1,376942323.0,3,4832473.719,26365.89629,37.87507885,1537
5,561.293897,214510.23106732478,177118.6753,3419.997434,78.98507543,3,48943827.8,2,2954921.364,14131.05323,76.73297338,4896
1,534.0522054,290899.33561363595,282654.9445,324.1012186,91.51960268,1,75540418.5,2,12563759.01,26786.02603,7.682119843,485
7,77.48524116,57270.646270014724,45178.92843,9710.543518,55.09023322,2,98397955.39,2,16350036.53,47499.43541,7.299733504,3780
1,49.42264285,52047.58292944555,208505.9923,5623.801696,53.21750343,4,496657409.9,3,18558015.65,13301.61526,94.7019199,3228
1,133.4228431,107479.42325216255,232344.8419,8595.644109,63.45447351,3,450411265.3,1,9616341.381,33193.61293,36.95589724,4830
6,237.0002897,120488.92293068842,166363.9021,6734.998623,87.97042821,3,263559653.2,3,18935182.56,40276.38887,40.26946409,4901
1,478.2932434,331253.6248622858,379047.2999,3001.087716,95.47008373,1,159334591.9,3,4157555.468,33252.83205,92.45095409,682
6,920.0782513,337988.8371403099,197337.3398,6176.171058,83.35212155,2,2366125.455,1,11246358.25,43860.7927,81.99965338,1656
3,163.4341055,126067.71250596945,348381.3619,572.3030977,53.30281805,3,69833193.8,1,9541619.214,28780.92484,21.09716738,1116
1,494.700168,285151.0787516214,287759.4419,1337.928177,74.98096373,2,277617305.0,3,3243120.838,27561.49008,79.17386833,1549
3,755.9848726,504745.0516861808,173634.9928,9448.322326,87.0609179,3,197326342.8,2,7022080.862,13188.72959,43.90613625,862
1,113.5384607,88657.51715311149,371588.7037,7834.715739,91.38393761,4,74543144.85,1,12396806.37,43954.20338,32.18205601,3671
5,50.15512621,54667.19346873078,436261.9008,6771.968046,51.78544071,1,482416469.9,1,3682720.68,38594.83146,30.46163417,827
3,567.3671042,315713.71542298724,55811.28809,7434.083439,80.74122931,4,469754748.8,3,1115174.118,3440.171168,76.98443841,4393
1,120.9721831,96191.52791593314,392933.8327,4790.643517,97.31110044,4,84749509.05,3,9968610.939,31477.89498,7.131089648,2688
5,107.2749717,71192.37885470912,222315.4512,7066.17463,73.64586972,4,297591269.8,1,19279794.68,37705.04989,94.02775631,4048
1,977.9112443,479300.46548720857,30580.95349,3397.314969,64.64894124,4,374255830.2,1,11495321.62,35769.00569,76.59726904,1554
1,129.6654386,113443.90744486812,286482.8575,4757.97167,87.52267592,2,443491315.4,1,16784524.8,30654.74307,47.13773703,1802
7,943.8571935,326828.7120092476,357194.4634,9348.097273,59.73391534,4,299861520.5,1,4333290.983,36855.81822,42.57682482,4042
2,532.7222391,286084.7353988176,334426.2801,4167.641568,68.00621509,4,302789369.3,3,6741747.505,21195.87868,10.73806876,136
7,194.0529052,110958.61241657546,134229.4098,673.7558636,99.5645322,2,262306226.1,1,16226226.35,32352.75556,14.76131114,2254
6,411.0027264,154782.38983498904,338632.5722,4622.264294,87.85513227,4,296656958.3,3,6728214.753,6499.218975,35.32579149,2776
5,718.3568657,355595.32892639807,15168.53006,927.7281614,93.96784499,2,280483775.1,2,17803590.36,1026.463852,93.05510134,571
2,704.4601832,402660.95925550547,196390.1186,9542.264183,80.97540429,3,253834486.5,1,18892291.78,36229.12925,15.95752857,3051
5,908.5416732,319701.40180974547,46310.28302,610.7739066,59.14698452,3,489576683.7,3,512008.3934,35449.80365,26.94315365,2623
7,78.42930836,52000.763253652316,83870.18183,4616.541892,52.5449442,4,473173876.1,2,9810141.562,38193.82133,1.747547429,2382
4,96.43264121,73338.74071780243,39237.92823,1862.999135,72.85530544,3,229122113.0,1,16427056.24,21920.50371,70.38966422,2454
5,97.68084817,61182.77645535086,293700.3251,9541.938718,65.35209493,3,250961377.5,3,11021281.16,35111.75671,91.86814436,3976
7,818.1897989,281499.6827508567,276354.383,1968.173477,92.49342396,4,466449000.2,2,6382285.19,22567.9075,29.55480719,1860
6,393.6106178,154614.40438571776,149087.0301,3843.43603,76.11935652,2,58698458.31,2,2869512.821,25149.49326,87.39106488,111
2,845.8262764,368638.0838805524,255082.7228,9662.310292,61.96842827,4,136873388.5,3,9145752.318,2188.108802,73.62544753,3805
6,809.6256485,376650.4977020634,216045.565,7230.039681,91.92456469,2,271274170.5,3,16099584.16,15184.10556,71.22253274,3862
4,501.7943543,184436.72524066738,185003.9449,7766.230985,79.64858871,4,78545412.97,3,9752846.518,33559.40289,87.74920219,2571
5,429.7743008,260577.4632822678,329271.6453,9343.411746,84.65211748,2,207034457.8,3,6156416.405,19785.08394,7.762019726,1986
7,903.5289239,386225.0215638977,20245.12419,8317.12824,89.79682551,2,70347441.78,1,16240353.63,41764.87896,47.03012391,2208
2,267.4040079,199497.85507513012,339599.9178,5573.213944,53.89175358,1,164821438.8,1,16745661.53,22902.37989,93.60776807,1400
2,146.2705822,101311.50009274555,234918.9926,5093.727938,78.96871361,1,4756561.083,2,7958719.945,37245.82074,76.7247362,4113
6,247.1329373,95561.22357097169,388320.0841,50.88988868,55.51733451,4,162919738.1,1,7130999.331,14870.69757,35.66505459,3595
7,751.0836049,250163.08492268884,408626.6046,7233.185814,99.62678254,3,354519989.4,1,1019383.8,1241.019195,24.80899933,4191
6,229.737167,130636.30551021972,201626.2246,5272.388573,70.77308294,3,497629949.7,3,7324404.827,28578.1718,49.35825969,4581
4,556.8273354,246323.6549651704,156645.9008,4825.6036,89.84530324,4,261539449.1,2,1029637.747,26518.66026,94.7167973,774
6,949.4977329,423320.52466726414,283407.3318,3537.3069,78.99419445,1,5592441.923,2,16047940.74,6284.389703,63.3169529,2018
2,814.6777202,484895.85991626076,182607.9417,5724.324043,52.99247759,3,112921782.3,1,16713363.88,17355.82111,44.82366284,2258
6,972.7330671,405519.6782614959,584.3490935,8895.646953,64.43324371,1,444736342.6,2,111505.9361,9559.322746,66.00054565,1505
2,863.7683366,572084.1609393233,238823.1054,7845.618804,69.62594527,1,319013633.4,3,15748307.93,37458.34307,57.04786955,3568
7,406.8100673,137101.2497739721,85111.3062,2644.862199,56.71065801,3,396762549.9,1,1103362.435,5165.456779,29.02689057,3526
4,867.7607168,411741.0084521787,421872.1779,5457.731292,95.62849931,3,291318781.5,2,1346392.684,19236.39294,42.90227161,3139
1,437.355941,253589.83838897143,139983.2167,264.7718203,78.76100863,2,204094344.8,2,16517789.1,3033.176168,49.83160421,2635
7,999.0339657,552616.301057853,168140.6014,7875.274883,58.81157742,1,425056339.0,1,17283480.85,9435.29457,49.66889061,1404
1,201.612981,114070.31130714901,229020.8479,4497.249359,51.60828461,4,42277851.84,2,12411660.92,46918.40357,38.36263729,4188
3,780.7407211,431592.05048345367,441976.051,8129.185689,77.49217372,4,213543501.1,3,18090945.55,18553.35144,17.63741902,1574
5,425.8856669,247234.56042373672,163130.8717,5518.765697,98.22626047,1,208097454.4,2,17950420.9,25534.34658,50.40131183,2830
6,903.1941093,274521.54219452373,351561.8218,1892.837137,62.19903025,2,17116053.99,1,2122118.827,22728.28299,49.21386972,2173
3,626.1087373,423603.26110184204,230498.9249,1343.614077,52.61263119,1,150793160.3,1,12338893.32,42422.54901,23.12337767,3716
3,247.2555151,186909.82433652488,221184.7668,6878.972289,58.11865041,1,269293282.4,2,5426552.17,21546.4934,20.52258446,4409
1,887.348515,554801.3724550721,423135.0641,2181.531829,85.39099429,2,475496957.5,1,15701607.51,6550.403898,7.208838397,1944
2,471.2698069,300817.3913511059,314855.3218,2921.646803,90.17783527,2,257247896.3,3,5998034.236,39706.27678,85.36242117,659
7,731.3352107,275468.98914099287,204578.5895,3239.91354,58.74687389,3,144008302.0,1,16025372.81,44013.16016,3.078792172,4734
1,419.3360304,195731.9753959711,30044.4558,9044.250058,93.45786553,4,231750268.5,3,6460583.752,9338.761951,34.48841351,1354
1,221.3472653,111645.46415032577,425479.3891,4686.092977,52.80525413,4,95070054.87,1,13990563.15,42128.89532,62.84322238,2606
7,607.2081174,236677.01323084254,145428.6202,5690.273744,84.81942855,3,4503103.82,3,11350098.37,34015.51932,62.14289643,467
5,595.7112841,231815.41229228475,321548.2379,773.2598965,80.26631947,4,217327796.4,1,5386059.758,22365.28108,66.48497689,3251
1,121.3584875,107721.3440129607,240781.7456,8178.864052,71.45045155,1,368130473.1,2,7416672.789,34536.35919,18.62646936,3575
7,821.6259245,373223.94374026696,86796.49158,5343.759456,84.20411746,2,390105239.2,1,7303982.567,1981.108106,13.4539029,476
6,288.2959799,131786.44373599824,83929.32769,7110.235376,60.86491519,4,489506742.2,1,2015382.928,38358.90962,56.8404282,4158
6,419.4876854,155969.58067208127,405784.5454,4062.329173,56.75256318,3,123710918.4,2,3693425.773,4115.729019,91.32400757,2749
2,65.24079241,73193.77883160091,220185.1122,7964.347943,66.3524735,1,258439437.6,2,6218863.425,28603.31067,58.64719926,1488
3,833.230033,553004.9619025764,50229.623,126.9606386,97.99677263,1,75835538.5,3,12583891.85,18914.30815,63.88499568,3634
4,402.723365,198425.61292048905,226779.7299,774.9824536,63.48319331,4,316751876.4,3,4137494.236,3791.978047,30.9487641,2736
5,332.3162938,133518.07098058594,115922.7873,927.3702777,71.63831935,4,465952230.0,3,10019674.11,11628.28346,1.520633052,2473
6,861.154251,209169.52772058404,249308.965,9911.241224,75.6939058,4,118091015.6,2,12809393.48,1768.687048,20.45647363,1210
6,518.366875,249427.9691908014,291785.9006,9799.561265,52.94809841,1,99483741.74,2,16917144.28,48019.2676,74.00786471,3023
2,451.1129702,314272.3986275727,164545.1565,4470.923587,55.38949774,1,408689383.4,2,9472693.242,868.7393632,50.13885539,2517
7,772.0706622,298869.0910535861,176601.7653,9145.267811,66.74449024,2,229960218.6,3,11295335.85,41877.9226,92.84017135,2747
3,275.9165932,204816.20253094577,388460.7392,3734.531286,54.23060467,3,384942175.1,3,19432686.5,41107.40302,44.21391603,3751
5,931.4867572,329963.5330028454,234758.082,9994.149869,75.93163259,3,254295393.1,2,3230840.963,33815.77804,17.37078891,2828
1,236.131764,140607.24140434904,381350.4091,4384.680073,52.73826825,3,265929731.4,2,10697280.54,42232.09046,74.18793925,3569
1,258.1258299,193701.1937058861,93302.48572,5004.308624,52.55565161,1,105223072.5,1,17387370.95,43621.53371,42.47006638,3924
2,942.4042957,432852.31842552987,41561.16575,7412.932632,76.89953009,4,119404953.9,2,9255986.106,23815.25397,51.28491431,2344
1,55.22300913,64295.70091770135,26975.91154,9493.737919,73.55446358,1,178290781.7,3,376900.8747,39906.11309,10.11794727,728
3,309.0022442,212804.8154012961,276304.9178,8440.431406,92.40402434,2,37748926.69,3,12815788.0,25261.53152,71.73832863,2133
2,750.7316771,378872.2431103871,285623.4011,227.6782148,95.98386772,4,497063252.4,1,2438775.992,8995.273851,93.48512907,1182
4,476.2653663,260041.11198037327,186413.9096,7737.686705,99.05821553,2,195015486.5,1,9967832.789,22611.98502,39.4313446,2422
6,911.7712061,439622.91547627153,67125.81863,9843.570756,98.04763541,1,498950762.6,3,8421364.316,5463.896259,3.875626799,442
6,560.236706,156160.35835040023,356306.0248,9333.549252,76.0697807,4,481448409.1,1,2779431.628,11822.15577,70.05894583,4670
5,279.0957418,122841.22245491992,61981.67119,7181.908513,63.25322623,4,73549328.05,2,12543090.02,7707.447414,54.5287079,937
2,82.93422271,84247.9776095745,43783.52709,7899.805612,76.0122924,1,494890357.7,2,4727232.563,10490.69845,56.8480136,566
6,890.616606,336075.87920607184,265555.7092,7167.1575,53.69792351,3,344357185.7,3,14396665.1,29153.13297,57.85920763,3696
7,829.1445079,449113.4046630148,445633.2332,1068.026141,98.73328799,2,457273234.2,3,10593486.63,33441.87151,36.1643283,1561
5,256.2483171,137168.57986750995,181021.3185,2730.720181,70.72381839,1,491660424.9,1,1232505.433,35390.84069,26.55775671,2491
1,478.251887,318397.99804932834,401892.9105,4896.480693,88.34812496,1,8363351.294,3,3150174.029,24981.00522,18.61377052,599
5,684.5273896,361767.06047224766,36724.61228,3191.468765,69.48325645,2,243659331.5,1,11044193.77,30956.53022,21.10305866,4397
7,34.61226633,43820.231905667315,111358.5831,3344.553889,80.94245249,1,202395643.9,2,13841692.79,4217.659872,78.59755028,1883
5,743.2111898,299794.4756872147,441653.7113,705.7814563,83.65928091,4,270307281.4,2,6875233.82,17386.90312,79.36561923,111
4,903.5167361,415739.603095478,287598.2507,7428.413937,57.31345954,1,198580909.1,2,13450688.16,18560.94266,1.302365749,1421
6,399.6442939,151327.58073365287,44818.01833,5325.228562,72.10208175,4,185152354.0,3,10270170.87,17619.27565,20.92760023,2655
1,942.4791193,621259.7375902616,172072.3355,3426.26013,72.08803525,1,83705543.93,1,12797116.28,29678.97107,11.16716766,1569
6,902.5983851,349934.8656435656,258076.9533,1785.522977,93.67907048,3,17529266.48,1,18935241.93,42993.51303,60.95717966,3930
2,848.2352659,506800.6839142665,142477.4885,7746.087669,63.89715378,2,106071408.6,3,7910312.657,26347.66236,76.24735904,2829
4,514.3514216,230768.90840383596,274237.2644,8356.42749,79.77678512,2,223338670.3,3,16939189.66,1299.527485,88.63490902,171
6,425.2108737,145498.36290022,143756.6536,4712.001866,66.37425008,4,148201808.0,1,18439905.77,49951.43375,43.65896505,3872
1,394.4253353,185723.13462293663,374658.1203,9424.037107,54.05133096,3,381217633.1,1,3304529.244,32008.62662,34.08391757,4112
7,100.9964886,72932.46220257567,358310.1572,7773.250212,91.06395938,2,464710555.6,2,673303.5771,47255.29947,58.72961294,673
6,49.89269916,45276.57650054776,403990.0321,5132.917952,65.99431223,4,177043032.5,2,3539249.315,17575.19467,56.14325983,2985
6,764.0577255,293148.63949725503,309775.5549,4705.385647,87.05148384,2,5816703.653,2,897752.1526,40702.99278,18.30986624,1607
3,67.24101206,74443.44185543573,410524.8228,1944.971758,98.5701745,2,119481616.4,1,19982141.68,34831.87531,93.55972855,3728
4,667.6729311,449571.0272456078,416735.6922,8921.547133,63.08190527,1,470253548.3,1,19584138.41,16680.07842,37.89851266,4149
5,65.38072698,65715.15298320711,436990.3374,6918.551039,81.82978975,1,423216735.4,3,19262045.7,44080.30429,78.96224421,4717
3,877.0391634,580375.2811408852,181893.0115,3015.350693,55.55506029,1,321786315.4,3,2863916.447,26643.76378,53.73754113,2763
4,535.449657,326658.6995114284,58081.72796,2428.939626,67.61601446,2,445676139.0,3,2448046.451,9904.483925,96.97743929,3456
7,982.9985355,413146.1065264747,271073.7352,8686.156611,76.30330156,1,243262400.7,2,4798676.884,26241.50293,7.151996953,976
1,257.2957199,145825.76377028177,94356.12076,6886.761684,99.2414714,4,133129361.9,1,15931925.47,47947.21847,52.43611834,418
6,189.691034,113715.97092794685,374528.8996,9911.73136,84.31441487,2,393198661.1,1,5285349.133,38345.25065,93.26616484,3443
4,435.8478993,202835.5679235074,337509.6271,2167.783338,57.28085269,3,291076119.0,2,12065371.43,37520.94564,47.34693169,1754
5,330.0480285,141593.28243486775,205213.363,6725.325426,96.73337803,3,97478692.08,3,17806775.76,10606.18643,4.705834149,3124
2,482.5518677,230935.5265381066,5424.906577,4498.767371,82.08041415,3,264727431.6,2,7691799.216,1343.066039,5.635794846,2388
2,650.8375446,439052.90239816013,202234.4476,6084.962352,68.13961118,2,357669050.2,2,15682802.18,43500.61288,22.04093694,4987
7,182.0652634,77703.86638466318,398432.3678,3458.234539,79.87137446,4,370089365.2,1,16613068.6,38979.28377,81.7765604,437
5,727.9598175,385983.39992900635,98892.45861,6205.060188,52.55312308,1,473749809.2,2,14233272.56,49793.6604,73.46861769,2091
3,105.6882263,95825.69833157759,168886.0224,1420.016729,71.49677859,2,251882617.8,2,14831692.06,29001.56289,93.74231185,348
3,499.2653073,261971.73202507125,383213.5987,1475.144978,55.54104511,2,7281472.94,1,8655353.694,31790.05415,94.54574808,2097
3,164.4497346,132121.33131649112,146719.1826,5320.149394,79.0519904,1,178743711.7,3,9869708.284,42389.40132,57.43814962,2996
2,980.9929055,427738.4506145401,230440.1397,4312.599656,66.73440448,4,423802368.9,3,16559417.99,14076.63151,39.06614586,3501
2,423.9023869,296460.27857071924,121569.4947,1446.012515,60.61867046,2,188653919.2,3,5181712.917,43112.32502,1.224169658,1249
2,123.9985084,98927.52096824817,93898.04256,6955.412783,64.09881596,2,414556729.2,1,1194741.805,43703.58837,73.64897732,3458
3,745.4324637,408378.3575572606,86861.6497,1097.110635,83.17014448,3,306275194.5,1,18724100.9,2957.270101,77.40160317,103
7,440.7831499,156417.49042795046,298153.2488,1281.0917,68.70462863,1,115201038.0,1,10184634.94,49325.99393,86.17800667,3428
6,99.36948174,74980.52262687983,357000.8458,8275.377176,95.84105447,2,187346500.5,1,13452542.91,42414.90488,82.90776742,3599
7,576.870133,221665.29775976998,449404.9934,1603.159729,92.28230866,2,444075992.7,2,12497711.14,43322.90078,30.06705832,4665
7,218.1057121,144639.94303417846,385684.5961,9349.222018,60.56157347,1,492155648.0,3,15255216.78,40057.5585,5.066862083,1260
3,514.8640017,293618.1651001811,366007.9531,8210.611097,86.81813733,4,154654362.3,3,2245754.068,6224.145835,63.27573818,855
3,930.2385741,482558.5330391462,359139.7467,9974.532525,66.62137713,4,264238383.1,1,19221468.88,11957.63591,41.83089819,2309
3,864.3222741,455804.96127305226,258460.4982,2957.154116,62.04094207,2,64650965.61,3,15107792.09,41260.0698,71.78459665,731
1,830.5411573,515216.56130810257,274221.5109,4061.167202,75.07759882,1,93121034.26,1,5129296.999,2996.436871,93.28637841,3084
2,878.8602151,581513.006677169,375670.1923,4188.369659,69.78203555,1,123779421.4,3,9815644.355,37477.50173,2.343163994,3010
3,249.7329621,188457.64130223187,26840.79839,7569.695515,99.07999739,1,126387661.9,3,6585276.223,46965.15984,68.49846926,2587
1,888.5430144,436982.9983201596,4661.422746,3672.17239,66.08741494,4,376525003.7,2,18899067.87,17312.92132,38.32586004,2416
1,905.3317815,422042.14481169626,368041.1831,1930.336338,75.90372998,3,198151792.0,1,2464724.28,45061.06983,26.06669478,4199
6,562.3004707,249042.56944813754,107731.0899,5315.581348,53.5878682,2,481280003.0,1,5374064.112,18289.12939,28.63568482,4531
5,286.81523,166497.61654511807,101931.3424,7202.23277,69.56872812,3,308446891.6,3,18647263.18,21165.14254,7.661638807,1061
5,784.1963656,474290.83367556124,189757.6424,2680.417954,89.869257,2,412968927.5,3,8817137.552,9627.341973,55.41789966,1163
6,712.5199702,231164.83222543378,264667.6531,1948.278255,91.79008775,3,2466373.067,1,1349281.406,12072.68653,53.10954664,4651
5,164.004614,93254.89409815834,138277.9914,3072.687967,98.83565218,4,418326175.4,3,3467488.829,35814.5109,16.96204042,688
3,956.729311,467070.41812176513,421064.0908,2452.739576,94.11091248,3,347331019.3,1,12951189.62,42470.46302,50.38491603,464
6,208.5334249,105391.34574781128,395013.2137,2688.450745,94.94519197,2,414344420.3,3,15929448.42,48785.08559,35.408248,1848
7,688.2979877,319856.7156382545,271903.8169,6734.276633,72.69288314,2,117086998.3,3,7848221.798,21373.31156,99.75589344,4853
3,42.86876247,49490.12018940449,95813.88243,5945.701963,98.51751617,4,201689214.9,1,19546596.84,47679.3361,48.05431537,1917
4,344.5981092,159277.06120435038,282729.0065,9700.083978,61.44449445,4,183923255.5,3,18856399.72,36253.37459,52.58580788,4966
5,856.0982307,450150.28323292814,10360.19356,6096.588818,72.70562884,1,330796979.0,3,11286861.13,34534.98921,15.51387777,2579
1,751.7162523,440072.14589368954,222094.8668,871.6332632,58.12540827,3,304747713.7,2,4381768.85,34192.58916,47.55571404,3012
